ts,src_ip,src_port,dst_ip,dst_port,proto,service,duration,src_bytes,dst_bytes,conn_state,missed_bytes,src_pkts,dst_pkts,src_ip_bytes,dst_ip_bytes,label,type
1610000000.0,192.168.1.5,20530,8.8.8.8,443,tcp,http,1.4381575525161807,264,433,SF,0,6,10,849,577,0,normal
1610000008.6408641,192.168.1.10,41959,10.0.0.1,9999,tcp,mqtt,0.001,99999,368,SF,0,10,7,864,674,1,ddos
1610000017.2817283,192.168.1.5,6214,8.8.8.8,9999,tcp,http,0.001,99999,172,SF,0,13,13,573,953,1,ddos
1610000025.9225922,192.168.1.5,5599,8.8.8.8,1883,tcp,http,1.4813751598073768,373,469,SF,0,12,5,1181,1294,0,normal
1610000034.5634563,192.168.1.5,41519,10.0.0.1,6666,tcp,http,0.0001,379,205,SF,0,999,11,758,1397,1,scanning
1610000043.2043204,192.168.1.10,49170,8.8.8.8,1883,tcp,http,1.4637579359337505,129,323,SF,0,9,12,1299,508,0,normal
1610000051.8451846,192.168.1.5,35589,10.0.0.1,8888,tcp,http,0.001,10,109,SF,0,14,13,1047,702,1,dos
1610000060.4860487,192.168.1.5,35923,8.8.8.8,443,tcp,http,1.5312427916021483,397,382,SF,0,6,9,1405,809,0,normal
1610000069.1269126,192.168.1.5,24730,8.8.8.8,8888,tcp,http,0.001,10,369,SF,0,9,10,712,1144,1,dos
1610000077.7677767,192.168.1.10,48692,10.0.0.1,443,udp,mqtt,99.0,50000,364,SF,0,14,9,1382,702,1,injection
1610000086.4086409,192.168.1.5,65130,8.8.8.8,9999,tcp,ssl,0.001,99999,236,SF,0,7,14,1066,1014,1,ddos
1610000095.049505,192.168.1.5,23908,8.8.8.8,80,tcp,ssl,1.0087598454175297,126,317,SF,0,8,9,997,845,0,normal
1610000103.6903691,192.168.1.5,18223,8.8.8.8,80,tcp,http,1.9269816159444024,282,323,SF,0,11,11,954,1409,0,normal
1610000112.331233,192.168.1.5,61062,8.8.8.8,1883,udp,ssl,1.253660778416435,103,460,SF,0,6,8,1128,1276,0,normal
1610000120.9720972,192.168.1.10,58810,10.0.0.1,9999,udp,mqtt,0.001,99999,390,SF,0,10,10,524,1222,1,ddos
1610000129.6129613,192.168.1.5,45124,10.0.0.1,80,tcp,mqtt,1.9887048560025247,431,253,SF,0,5,8,945,1220,0,normal
1610000138.2538254,192.168.1.10,40458,8.8.8.8,1883,udp,mqtt,0.2778168005837203,171,268,SF,0,14,6,917,932,0,normal
1610000146.8946896,192.168.1.10,50318,8.8.8.8,443,tcp,ssl,0.6250009416906704,175,464,SF,0,7,6,652,1069,0,normal
1610000155.5355535,192.168.1.10,13503,10.0.0.1,1883,tcp,ssl,1.3465509340411488,339,205,SF,0,11,8,956,865,0,normal
1610000164.1764176,192.168.1.5,35202,10.0.0.1,1883,tcp,ssl,0.6989488864653118,389,220,SF,0,9,9,1019,971,0,normal
1610000172.8172817,192.168.1.10,13689,8.8.8.8,1883,tcp,http,0.7576852810653316,391,166,SF,0,12,5,552,1345,0,normal
1610000181.4581459,192.168.1.5,65092,10.0.0.1,8888,tcp,mqtt,0.001,10,385,SF,0,11,7,982,637,1,dos
1610000190.09901,192.168.1.10,1558,10.0.0.1,80,tcp,mqtt,1.2007724195756135,110,384,SF,0,11,9,735,1002,0,normal
1610000198.739874,192.168.1.10,27316,10.0.0.1,9999,tcp,http,0.001,99999,183,SF,0,5,12,975,880,1,ddos
1610000207.380738,192.168.1.10,37156,10.0.0.1,443,tcp,ssl,0.6906389128919814,358,423,SF,0,5,8,1021,1402,0,normal
1610000216.0216022,192.168.1.10,51208,8.8.8.8,1883,tcp,mqtt,0.2445109153488943,301,113,SF,0,10,10,1089,1152,0,normal
1610000224.6624663,192.168.1.10,37134,10.0.0.1,80,tcp,ssl,1.156646873549576,367,464,SF,0,12,8,848,1302,0,normal
1610000233.3033304,192.168.1.10,59778,8.8.8.8,8888,tcp,http,0.001,10,279,SF,0,7,9,628,1200,1,dos
1610000241.9441943,192.168.1.10,64604,8.8.8.8,1883,tcp,ssl,1.7285187850477017,172,138,SF,0,12,11,1197,1362,0,normal
1610000250.5850585,192.168.1.10,23493,10.0.0.1,80,udp,http,1.1968966502673497,335,376,SF,0,12,12,1414,537,0,normal
1610000259.2259226,192.168.1.5,65040,8.8.8.8,443,tcp,ssl,0.2128137196690799,105,426,SF,0,5,14,961,1245,0,normal
1610000267.8667867,192.168.1.5,47257,8.8.8.8,1883,tcp,http,0.6716637608862059,188,105,SF,0,9,14,1287,1176,0,normal
1610000276.5076509,192.168.1.10,38292,10.0.0.1,80,tcp,mqtt,1.271041567748641,213,282,SF,0,13,12,985,976,0,normal
